,id,humidity,temperature,created_at,updated_at
246,229120,20.0,18.3,2024-02-15 00:50:01.206117,2024-02-15 00:50:01.206117
247,229121,20.0,18.4,2024-02-15 00:50:11.232098,2024-02-15 00:50:11.232098
248,229122,20.0,18.3,2024-02-15 00:50:21.264258,2024-02-15 00:50:21.264258
249,229123,20.0,18.3,2024-02-15 00:50:31.319163,2024-02-15 00:50:31.319163
250,229124,20.0,18.3,2024-02-15 00:50:41.319926,2024-02-15 00:50:41.319926
251,229125,20.0,18.3,2024-02-15 00:50:51.352921,2024-02-15 00:50:51.352921
252,229126,20.0,18.3,2024-02-15 00:51:01.381740,2024-02-15 00:51:01.381740
253,229127,20.0,18.3,2024-02-15 00:51:11.409871,2024-02-15 00:51:11.409871
254,229128,20.0,18.3,2024-02-15 00:51:21.442277,2024-02-15 00:51:21.442277
255,229129,20.0,18.3,2024-02-15 00:51:31.480487,2024-02-15 00:51:31.480487
256,229130,20.0,18.3,2024-02-15 00:51:41.504276,2024-02-15 00:51:41.504276
257,229131,20.0,18.3,2024-02-15 00:51:51.531512,2024-02-15 00:51:51.531512
258,229132,20.0,18.3,2024-02-15 00:52:01.564520,2024-02-15 00:52:01.564520
259,229133,20.0,18.3,2024-02-15 00:52:11.598143,2024-02-15 00:52:11.598143
260,229134,20.0,18.3,2024-02-15 00:52:21.621369,2024-02-15 00:52:21.621369
261,229135,20.0,18.3,2024-02-15 00:52:31.657410,2024-02-15 00:52:31.657410
262,229136,20.0,18.3,2024-02-15 00:52:41.691882,2024-02-15 00:52:41.691882
263,229137,20.0,18.3,2024-02-15 00:52:51.714623,2024-02-15 00:52:51.714623
264,229138,20.0,18.3,2024-02-15 00:53:01.746888,2024-02-15 00:53:01.746888
265,229139,20.0,18.3,2024-02-15 00:53:11.779422,2024-02-15 00:53:11.779422
266,229140,20.0,18.3,2024-02-15 00:53:21.809697,2024-02-15 00:53:21.809697
267,229141,20.0,18.3,2024-02-15 00:53:31.831277,2024-02-15 00:53:31.831277
268,229142,20.0,18.3,2024-02-15 00:53:41.897858,2024-02-15 00:53:41.897858
269,229143,20.0,18.3,2024-02-15 00:53:51.893083,2024-02-15 00:53:51.893083
270,229144,20.0,18.3,2024-02-15 00:54:01.921168,2024-02-15 00:54:01.921168
271,229145,20.0,18.3,2024-02-15 00:54:11.952151,2024-02-15 00:54:11.952151
272,229146,20.0,18.3,2024-02-15 00:54:21.984340,2024-02-15 00:54:21.984340
273,229147,20.0,18.3,2024-02-15 00:54:32.014679,2024-02-15 00:54:32.014679
274,229148,20.0,18.3,2024-02-15 00:54:42.050206,2024-02-15 00:54:42.050206
275,229149,20.0,18.3,2024-02-15 00:54:52.072306,2024-02-15 00:54:52.072306
276,229150,20.0,18.3,2024-02-15 00:55:02.110417,2024-02-15 00:55:02.110417
277,229151,20.0,18.3,2024-02-15 00:55:12.152248,2024-02-15 00:55:12.152248
278,229152,20.0,18.3,2024-02-15 00:55:22.172765,2024-02-15 00:55:22.172765
279,229153,20.0,18.3,2024-02-15 00:55:32.195615,2024-02-15 00:55:32.195615
280,229154,20.0,18.2,2024-02-15 00:55:42.226391,2024-02-15 00:55:42.226391
281,229155,20.0,18.2,2024-02-15 00:55:52.257653,2024-02-15 00:55:52.257653
282,229156,20.0,18.2,2024-02-15 00:56:02.291634,2024-02-15 00:56:02.291634
283,229157,20.0,18.2,2024-02-15 00:56:12.317993,2024-02-15 00:56:12.317993
284,229158,20.0,18.2,2024-02-15 00:56:22.349091,2024-02-15 00:56:22.349091
285,229159,20.0,18.2,2024-02-15 00:56:32.384583,2024-02-15 00:56:32.384583
286,229160,20.0,18.2,2024-02-15 00:56:42.407314,2024-02-15 00:56:42.407314
287,229161,20.0,18.2,2024-02-15 00:56:52.437641,2024-02-15 00:56:52.437641
288,229162,20.0,18.3,2024-02-15 00:57:02.467820,2024-02-15 00:57:02.467820
289,229163,20.0,18.2,2024-02-15 00:57:12.498794,2024-02-15 00:57:12.498794
